No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia,Tertarik
1,5.494,9,Perempuan,rural,2,2,44,0
2,4.700,3,Perempuan,urban,2,4,39,0
3,4.496,5,Laki-Laki,rural,3,2,36,0
4,4.360,5,Perempuan,urban,8,2,37,0
5,18.866,9,Laki-Laki,rural,2,3,30,1
6,0.516,3,Laki-Laki,urban,1,2,42,0
7,8.518,4,Laki-Laki,rural,2,2,38,0
8,2.224,1,Perempuan,rural,3,2,30,1
9,15.424,6,Perempuan,urban,2,3,44,0
10,0.963,5,Laki-Laki,rural,2,3,33,0
11,2.644,3,Laki-Laki,rural,1,2,35,0
12,1.127,6,Perempuan,rural,3,2,42,0
13,32.452,17,Laki-Laki,rural,4,3,40,1
14,2.406,3,Perempuan,urban,6,1,32,0
15,3.099,3,Laki-Laki,urban,1,2,32,0
16,2.673,1,Laki-Laki,urban,1,2,35,0
17,10.925,9,Laki-Laki,urban,4,4,39,1
18,5.656,5,Laki-Laki,rural,8,2,34,0
19,0.168,2,Laki-Laki,rural,1,4,45,0
20,37.517,13,Perempuan,rural,9,5,28,1
21,3.002,3,Perempuan,urban,4,0,42,0
22,3.679,6,Perempuan,urban,6,3,37,0
23,2.131,3,Laki-Laki,rural,2,0,35,0
24,1.232,7,Perempuan,rural,4,2,37,0
25,6.556,4,Laki-Laki,urban,1,6,46,0
26,0.044,7,Perempuan,rural,8,1,34,0
27,0.876,1,Perempuan,urban,1,3,38,0
28,2.414,5,Perempuan,urban,1,2,37,0
29,0.065,2,Laki-Laki,rural,1,3,29,0
30,2.350,1,Laki-Laki,urban,1,1,46,0
31,5.764,7,Laki-Laki,rural,1,1,35,0
32,9.509,10,Laki-Laki,urban,4,1,35,1
33,4.304,1,Perempuan,rural,0,4,34,0
34,2.768,3,Perempuan,rural,4,3,36,0
35,1.287,3,Perempuan,urban,1,2,36,0
36,14.476,8,Perempuan,rural,7,1,36,1
37,1.111,4,Laki-Laki,urban,1,2,36,0
38,3.183,2,Perempuan,urban,4,0,33,0
39,2.939,4,Perempuan,urban,4,0,38,0
40,0.956,2,Laki-Laki,urban,0,4,35,0
41,0.612,1,Laki-Laki,rural,1,5,41,0
42,5.352,3,Laki-Laki,urban,5,1,29,1
43,0.894,1,Laki-Laki,urban,8,2,39,0
44,6.381,2,Laki-Laki,rural,1,0,37,0
45,0.972,6,Laki-Laki,urban,4,3,32,1
46,23.166,11,Laki-Laki,rural,2,3,44,0
47,10.841,2,Laki-Laki,urban,0,4,42,0
48,1.599,0,Laki-Laki,rural,1,5,44,0
49,1.188,4,Perempuan,rural,2,2,35,0
50,1.439,1,Perempuan,rural,4,8,34,1
51,10.711,9,Laki-Laki,urban,2,0,30,1
52,37.735,8,Laki-Laki,rural,6,10,42,1
53,1.227,4,Perempuan,urban,1,0,39,0
54,0.338,0,Perempuan,urban,2,0,37,0
55,0.834,1,Perempuan,urban,0,0,43,0
56,0.934,0,Laki-Laki,rural,3,1,38,0
57,1.950,6,Perempuan,urban,4,1,43,0
58,0.526,4,Laki-Laki,urban,0,1,39,0
59,7.253,6,Laki-Laki,rural,2,2,41,0
60,0.823,5,Laki-Laki,rural,0,2,36,0
61,18.285,11,Laki-Laki,urban,4,1,33,1
62,8.320,4,Perempuan,rural,5,4,41,0
63,17.235,13,Perempuan,rural,8,3,33,1
64,2.808,1,Perempuan,urban,2,1,33,0
65,15.321,16,Laki-Laki,rural,6,5,39,1
66,4.419,13,Laki-Laki,rural,7,2,34,1
67,25.507,13,Laki-Laki,rural,2,9,46,1
68,0.524,9,Perempuan,urban,4,2,44,0
69,0.879,1,Laki-Laki,rural,3,2,37,0
70,0.692,0,Perempuan,rural,1,2,34,0
