Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Property,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,account < 0 ,18,critical account,funiture,1049,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,4,building society,21,none,rent,1,skilled employee,1,none,yes
1,account < 0 ,9,critical account,car-new,2799,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled employee,2,none,yes
1,0 <= account < 200,12,existing credits,business,841,savings >= 1000,4 <= employed < 7 years,2,female-divorced/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes
1,account < 0 ,12,critical account,car-new,2122,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,real estate,39,none,rent,2,unskilled-resident,2,none,no
1,account < 0 ,12,critical account,car-new,2171,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,building society,38,bank,own,2,unskilled-resident,1,none,no
1,account < 0 ,10,critical account,car-new,2241,100 <= savings < 500,employed < 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no
1,account < 0 ,8,critical account,car-new,3398,savings >= 1000,4 <= employed < 7 years,1,male-single,none,4,real estate,39,none,own,2,unskilled-resident,1,none,no
1,account < 0 ,6,critical account,car-new,1361,100 <= savings < 500,employed < 1 year,2,male-single,none,4,real estate,40,none,own,1,unskilled-resident,2,none,no
1,no cheking account,18,critical account,radio/TV,1098,savings < 100,unemployed,4,female-divorced/married,none,4,car or other,65,none,own,2,unemployed,1,none,yes
1,0 <= account < 200,24,existing credits,radio/TV,3758,savings < 100,unemployed,1,female-divorced/married,none,4,no property,23,none,rent,1,unemployed,1,none,yes
1,account < 0 ,11,critical account,car-new,3905,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled employee,2,none,yes
1,account < 0 ,30,critical account,car-used,6187,savings >= 1000,4 <= employed < 7 years,1,male-married,none,4,car or other,24,none,rent,2,skilled employee,1,none,yes
1,account < 0 ,6,critical account,radio/TV,1957,savings >= 1000,4 <= employed < 7 years,1,female-divorced/married,none,4,car or other,31,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,48,delay paying in past,others,7582,savings < 100,unemployed,2,male-single,none,4,no property,31,none,own,1,high qualified employee,1,yes,yes
1,account < 0 ,18,existing credits,radio/TV,1936,savings >= 1000,4 <= employed < 7 years,2,male-married,none,4,car or other,23,none,rent,2,unskilled-resident,1,none,yes
1,account < 0 ,6,existing credits,radio/TV,2647,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled employee,2,none,yes
1,account < 0 ,11,critical account,car-new,3939,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,40,none,own,2,unskilled-resident,2,none,yes
1,0 <= account < 200,18,existing credits,radio/TV,3213,100 <= savings < 500,employed < 1 year,1,male-married,none,3,real estate,25,none,rent,1,skilled employee,1,none,yes
1,0 <= account < 200,36,critical account,radio/TV,2337,no savings,employed >= 7 years,4,male-single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes
1,no cheking account,11,critical account,car-new,7228,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,4,building society,39,none,own,2,unskilled-resident,1,none,yes
1,account < 0 ,6,critical account,car-new,3676,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,3,real estate,37,none,rent,3,skilled employee,2,none,yes
1,0 <= account < 200,12,critical account,car-new,3124,100 <= savings < 500,employed < 1 year,1,male-single,none,3,real estate,49,bank,own,2,unskilled-resident,2,none,yes
