No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia
7501,10.173,6,Laki-Laki,urban,3,7,33
7502,19.558,10,Laki-Laki,urban,3,6,37
7503,31.807,15,Laki-Laki,rural,6,7,40
7504,12.924,13,Laki-Laki,urban,5,1,38
7505,0.115,0,Laki-Laki,rural,3,0,45
7506,14.202,6,Laki-Laki,rural,2,2,37
7507,3.251,1,Perempuan,rural,1,3,39
7508,20.535,5,Perempuan,urban,2,4,38
7509,6.371,4,Laki-Laki,urban,2,5,45
7510,1.332,1,Perempuan,urban,2,1,35
7511,3.264,4,Perempuan,urban,1,6,38
7512,2.689,1,Laki-Laki,urban,0,0,40
7513,2.284,2,Laki-Laki,rural,1,3,36
7514,5.242,4,Laki-Laki,rural,1,0,38
7515,11.947,4,Laki-Laki,rural,4,1,42
7516,1.882,2,Perempuan,rural,0,0,46
7517,11.338,16,Laki-Laki,rural,5,1,35
7518,1.506,5,Perempuan,rural,2,0,39
7519,2.302,1,Perempuan,rural,2,1,39
7520,4.152,3,Perempuan,rural,4,1,43
7521,1.041,7,Laki-Laki,rural,3,0,34
7522,1.276,5,Laki-Laki,rural,0,1,44
7523,3.516,6,Perempuan,urban,3,2,32
7524,2.850,3,Laki-Laki,rural,0,3,49
7525,4.683,2,Perempuan,rural,4,3,40
7526,2.795,3,Laki-Laki,rural,0,2,32
7527,5.315,4,Perempuan,rural,6,1,45
7528,1.635,0,Laki-Laki,rural,1,1,47
7529,8.169,2,Perempuan,rural,3,3,43
7530,21.304,5,Laki-Laki,urban,1,3,41
7531,0.978,6,Perempuan,urban,5,1,46
7532,1.236,2,Perempuan,rural,1,1,36
7533,3.091,4,Laki-Laki,rural,2,3,39
7534,1.804,5,Laki-Laki,urban,4,2,47
7535,19.001,7,Laki-Laki,urban,0,2,29
7536,2.638,2,Laki-Laki,rural,4,4,42
7537,1.224,3,Laki-Laki,rural,1,2,44
7538,1.747,1,Perempuan,rural,5,4,34
7539,8.469,3,Laki-Laki,urban,1,0,42
7540,12.397,4,Perempuan,rural,4,5,44
7541,2.567,2,Laki-Laki,rural,0,1,35
7542,0.217,1,Perempuan,urban,3,2,45
7543,0.829,4,Laki-Laki,rural,1,2,36
7544,4.737,4,Perempuan,urban,4,2,42
7545,0.531,1,Perempuan,rural,3,2,35
7546,2.625,3,Laki-Laki,urban,1,0,31
7547,0.476,6,Perempuan,urban,2,2,37
7548,16.608,5,Perempuan,rural,2,6,39
7549,0.322,1,Perempuan,rural,1,1,40
7550,0.663,5,Laki-Laki,urban,1,5,35
7551,3.750,4,Laki-Laki,rural,5,0,35
7552,2.508,3,Perempuan,rural,4,1,43
7553,11.573,4,Laki-Laki,rural,4,2,36
7554,12.426,11,Laki-Laki,rural,1,2,39
7555,5.811,5,Laki-Laki,urban,3,1,42
7556,4.042,7,Laki-Laki,rural,6,1,30
7557,7.584,3,Perempuan,rural,0,0,37
7558,1.791,4,Perempuan,rural,2,0,47
7559,1.190,2,Perempuan,urban,2,1,45
7560,2.313,5,Laki-Laki,rural,4,5,39
7561,4.324,5,Laki-Laki,rural,0,1,35
7562,3.449,3,Perempuan,rural,0,2,42
7563,0.493,3,Laki-Laki,rural,2,4,45
7564,1.560,8,Laki-Laki,urban,1,0,32
7565,1.476,5,Laki-Laki,rural,1,2,46
7566,4.175,4,Laki-Laki,rural,1,2,37
7567,7.481,4,Perempuan,urban,0,3,42
7568,4.699,2,Laki-Laki,urban,0,2,31
7569,1.497,3,Perempuan,rural,4,2,25
7570,1.513,0,Laki-Laki,rural,1,2,42
7571,24.841,14,Perempuan,rural,5,2,46
7572,0.000,3,Perempuan,urban,5,2,39
7573,7.026,3,Laki-Laki,urban,1,5,53
7574,14.407,6,Perempuan,rural,3,2,41
7575,33.874,9,Perempuan,urban,6,14,50
7576,1.571,4,Laki-Laki,rural,0,4,37
7577,15.761,11,Perempuan,urban,1,1,33
7578,0.435,0,Perempuan,rural,7,1,44
7579,0.975,5,Perempuan,rural,10,0,31
7580,1.168,5,Perempuan,rural,4,2,35
7581,2.810,4,Laki-Laki,urban,1,2,37
7582,3.706,7,Laki-Laki,rural,4,4,32
7583,0.446,4,Perempuan,rural,1,3,44
7584,0.357,2,Perempuan,rural,2,3,34
7585,8.760,5,Laki-Laki,rural,1,1,36
7586,5.596,2,Laki-Laki,rural,1,3,34
7587,13.052,2,Perempuan,rural,3,1,39
7588,0.298,5,Laki-Laki,rural,4,0,36
7589,1.823,3,Perempuan,urban,4,5,35
7590,5.290,3,Laki-Laki,rural,1,6,41
7591,5.273,4,Perempuan,urban,1,2,35
7592,4.891,5,Laki-Laki,rural,2,4,39
7593,5.518,7,Laki-Laki,rural,0,3,36
7594,0.296,3,Laki-Laki,rural,1,0,38
7595,6.888,3,Perempuan,urban,2,2,39
7596,0.780,3,Perempuan,urban,2,1,29
7597,37.266,14,Laki-Laki,urban,4,9,32
7598,2.288,1,Perempuan,urban,2,1,35
7599,22.093,7,Perempuan,urban,0,2,28
7600,7.978,3,Perempuan,rural,2,2,40
7601,23.154,11,Laki-Laki,rural,1,4,35
7602,2.122,0,Laki-Laki,rural,0,2,42
7603,4.031,2,Laki-Laki,urban,0,1,40
7604,1.526,1,Laki-Laki,rural,2,1,36
7605,0.383,1,Laki-Laki,rural,1,3,33
7606,2.833,2,Laki-Laki,rural,4,3,38
7607,19.084,3,Perempuan,rural,0,6,33
7608,5.326,3,Laki-Laki,urban,2,2,53
7609,0.048,3,Perempuan,rural,6,5,40
7610,0.479,1,Laki-Laki,rural,2,0,34
7611,8.134,5,Perempuan,urban,3,2,38
7612,0.200,0,Laki-Laki,rural,1,1,34
7613,7.035,15,Perempuan,urban,4,2,44
7614,0.829,7,Perempuan,rural,1,0,38
7615,1.907,3,Laki-Laki,rural,1,1,42
7616,14.065,2,Laki-Laki,rural,1,1,45
7617,5.297,7,Laki-Laki,urban,3,2,43
7618,12.305,9,Laki-Laki,urban,1,1,42
7619,14.466,9,Laki-Laki,urban,5,0,44
7620,1.199,5,Perempuan,rural,5,1,37
7621,0.145,4,Perempuan,urban,4,0,37
7622,6.543,4,Laki-Laki,rural,0,2,45
7623,1.731,0,Perempuan,rural,0,4,40
7624,5.542,5,Laki-Laki,rural,2,1,39
7625,0.147,0,Perempuan,rural,3,2,32
7626,21.546,2,Perempuan,rural,2,8,38
7627,1.583,0,Laki-Laki,rural,0,2,40
7628,1.984,7,Perempuan,urban,3,2,41
7629,7.219,4,Perempuan,rural,4,2,32
7630,1.434,0,Laki-Laki,rural,2,3,28
7631,2.559,0,Laki-Laki,rural,3,1,45
7632,0.480,0,Perempuan,rural,1,1,36
7633,6.294,3,Perempuan,urban,1,1,33
7634,0.011,3,Laki-Laki,urban,0,5,34
7635,5.673,8,Perempuan,urban,6,2,45
7636,4.903,1,Laki-Laki,rural,3,2,40
7637,2.186,1,Perempuan,rural,0,2,36
7638,1.813,5,Perempuan,rural,3,3,33
7639,0.774,4,Perempuan,rural,4,3,43
7640,13.670,11,Laki-Laki,urban,2,3,41
7641,13.316,5,Perempuan,rural,7,3,41
7642,7.216,7,Laki-Laki,urban,5,2,29
7643,18.392,9,Laki-Laki,urban,2,3,38
7644,7.869,4,Perempuan,rural,3,1,41
7645,14.045,7,Perempuan,urban,3,1,40
7646,3.144,6,Perempuan,rural,3,1,39
7647,4.728,6,Perempuan,rural,6,2,34
7648,12.251,13,Laki-Laki,urban,3,3,40
7649,0.409,4,Perempuan,rural,2,3,33
7650,19.358,8,Laki-Laki,urban,1,5,40
7651,5.803,0,Perempuan,rural,4,6,34
7652,5.301,4,Laki-Laki,rural,5,3,35
7653,5.421,3,Laki-Laki,rural,1,2,34
7654,0.236,1,Perempuan,rural,3,1,38
7655,5.107,2,Perempuan,rural,3,0,42
7656,39.440,7,Laki-Laki,rural,1,1,48
7657,0.751,6,Laki-Laki,rural,1,3,39
7658,2.231,4,Perempuan,urban,3,0,29
7659,7.494,5,Laki-Laki,urban,1,2,43
7660,16.760,6,Perempuan,urban,5,6,43
7661,5.577,3,Perempuan,rural,3,2,48
7662,3.014,4,Laki-Laki,rural,1,2,23
7663,10.646,5,Laki-Laki,urban,4,4,30
7664,12.811,6,Perempuan,rural,5,8,39
7665,0.657,3,Perempuan,urban,1,0,26
7666,4.247,2,Laki-Laki,urban,1,2,35
7667,1.047,1,Laki-Laki,urban,1,0,44
7668,12.372,10,Perempuan,rural,1,3,38
7669,3.357,7,Perempuan,rural,6,3,40
7670,6.135,3,Laki-Laki,rural,1,3,40
